sample	total_reads	pct_mapped	pct_properly_paired	pct_duplicates	avg_read_length	insert_size_mean	insert_size_sd	error_rate	genome_coverage_pct	mean_depth
NPC_9sca_ctrl_H3K27ac_rep1.bam	15836934	100.0	100.0	0.0	88.0	269.1	147.4	0.009714358	24.90857854171364	0.5101988033406386
NPC_9sca_ctrl_H3K27ac_rep2.bam	15946894	100.0	100.0	0.0	88.0	273.3	147.7	0.009631115	25.781267826682804	0.5137462244163283
NPC_9sca_ctrl_H3K27me3_rep1.bam	32258680	100.0	100.0	0.0	88.0	294.6	171.5	0.01013495	52.30899945409181	1.0393192401811913
NPC_9sca_ctrl_H3K27me3_rep2.bam	33081472	100.0	100.0	0.0	88.0	299.1	171.3	0.01001719	53.41765391842676	1.0658369924023334
NPC_9sca_ctrl_H3K4me1_rep1.bam	16076892	100.0	100.0	0.0	88.0	267.2	151.2	0.01004349	27.12897068670886	0.517917813448239
NPC_9sca_ctrl_H3K4me1_rep2.bam	17091252	100.0	100.0	0.0	88.0	271.3	151.1	0.009928107	28.856787895409045	0.5506036059372327
NPC_9sca_ctrl_H3K4me3_rep1.bam	13902414	100.0	100.0	0.0	88.0	239.4	140.1	0.009484337	23.05525349552957	0.4479123847491533
NPC_9sca_ctrl_H3K4me3_rep2.bam	14510396	100.0	100.0	0.0	88.0	250.0	141.5	0.009427112	24.848660113896265	0.4675029546076013
NPC_9sca_ctrl_H3K9me3_rep1.bam	34576748	100.0	100.0	0.0	88.0	318.5	178.1	0.01074155	53.775230258890645	1.11400472748458
NPC_9sca_ctrl_H3K9me3_rep2.bam	35550602	100.0	100.0	0.0	88.0	320.9	177.8	0.01058189	54.9749059667129	1.1453848255911825
NPC_9sca_ctrl_input_rep1.bam	76531388	100.0	100.0	0.0	101.0	232.5	108.5	0.01181031	82.04203272279281	2.8296491034432982
NPC_9sca_ctrl_input_rep2.bam	78650216	100.0	100.0	0.0	101.0	247.8	119.2	0.01235724	82.56237042453691	2.907918926219432
NPC_9sca_ctrl_RNA_rep1.bam	286654648	100.0	100.0	31.444997186998343	101.0	952.7	1816.4	0.005545339	22.855400767318148	5.744846391257732
NPC_9sca_ctrl_RNA_rep2.bam	285469172	100.0	100.0	33.14208162554239	101.0	975.2	1835.9	0.00552698	22.184146779459223	5.520831133243667
NPC_9sca_ctrl_ATAC_rep1.bam	76587436	100.0	100.0	15.28588057184732	101.0	212.6	103.4	0.01081924	42.8707954357348	2.399382908130601
NPC_9sca_ctrl_ATAC_rep2.bam	82739690	100.0	100.0	15.655656916287697	101.0	216.0	108.5	0.01045768	44.16173554903423	2.580811963095243
NPC_9sca_ctrl_BS_rep1.bam	637855742	100.0	100.0	0.0	101.0	262.8	124.5	0.01265654	94.1358801976958	23.36437687330104
NPC_9sca_ctrl_BS_rep2.bam	588081686	100.0	100.0	0.0	101.0	258.2	116.4	0.01268072	94.11277009537372	21.56773639388722
NPC_9sca_ko_ATAC_rep1.bam	89042648	100.0	100.0	14.301290770238548	101.0	223.4	117.2	0.0106119	47.67286756705896	2.821981049793636
NPC_9sca_ko_ATAC_rep2.bam	81753976	100.0	100.0	14.94913715266888	101.0	222.8	114.6	0.01043982	42.31541689633284	2.571452569674715
NPC_9sca_ko_BS_rep1.bam	811864481	100.0	100.0	0.0	101.0	256.1	117.5	0.01225636	94.1700656798825	29.75175767474561
NPC_9sca_ko_BS_rep2.bam	601082215	100.0	100.0	0.0	101.0	253.6	116.3	0.01233472	94.12186000664212	22.02745418416452
NPC_9sca_ko_H3K27ac_rep1.bam	15987360	100.0	100.0	0.0	90.0	291.2	118.2	0.01164915	23.591797683655965	0.5258586849345631
NPC_9sca_ko_H3K27ac_rep2.bam	15009450	100.0	100.0	0.0	90.0	280.2	112.4	0.01016142	24.170277161904348	0.4938382740346094
NPC_9sca_ko_H3K27me3_rep1.bam	29646578	100.0	100.0	0.0	90.0	320.7	145.8	0.01157461	50.471733362332046	0.9747800038609729
NPC_9sca_ko_H3K27me3_rep2.bam	26477016	100.0	100.0	0.0	90.0	306.9	139.6	0.009968267	48.02015057532418	0.8708729078413191
NPC_9sca_ko_H3K4me1_rep1.bam	24423300	100.0	100.0	0.0	90.0	305.8	125.5	0.01292	32.59092801153699	0.8029713817475939
NPC_9sca_ko_H3K4me1_rep2.bam	23082560	100.0	100.0	0.0	90.0	293.5	119.6	0.01055897	33.47464825184081	0.759249404816184
NPC_9sca_ko_H3K4me3_rep1.bam	9558068	100.0	100.0	0.0	90.0	280.2	115.5	0.01179083	16.06033759598293	0.3144056825655387
NPC_9sca_ko_H3K4me3_rep2.bam	10118136	100.0	100.0	0.0	90.0	268.7	109.1	0.01035732	18.943007298051157	0.3329218587389986
NPC_9sca_ko_H3K9me3_rep1.bam	32015686	100.0	100.0	0.0	90.0	330.5	154.2	0.01098735	52.30544120318875	1.0528161434053274
NPC_9sca_ko_H3K9me3_rep2.bam	28081954	100.0	100.0	0.0	90.0	315.8	147.5	0.009978571	49.40260910564584	0.923676217134738
NPC_9sca_ko_input1_rep1.bam	99751944	100.0	100.0	0.0	101.0	245.7	118.0	0.01202639	85.49579713139015	3.688217293097183
NPC_9sca_ko_input1_rep2.bam	61594384	100.0	100.0	0.0	101.0	236.6	111.2	0.01203166	78.1212077929638	2.277391756706684
NPC_9sca_ko_RNA_rep1.bam	362100326	100.0	100.0	36.430200286536056	101.0	927.6	1778.0	0.005349372	23.71813206664356	6.450852725955962
NPC_9sca_ko_RNA_rep2.bam	278809662	100.0	100.0	29.477114032009407	101.0	992.0	1861.2	0.005039484	22.822078154652647	5.864962317372132
